year,avg_annual_temp_C
1900,13.14
1901,12.89
1902,12.23
1903,12.53
1904,12.51
1905,12.60
1906,13.21
1907,12.41
1908,12.79
1909,12.20
1910,12.60
1911,13.88
1912,12.82
1913,13.31
1914,13.70
1915,12.72
1916,12.72
1917,12.12
1918,13.20
1919,12.20
1920,12.99
1921,14.47
1922,12.20
1923,12.49
1924,12.55
1925,12.72
1926,13.13
1927,12.47
1928,13.24
1929,12.98
1930,12.80
1931,12.38
1932,12.85
1933,13.71
1934,13.80
1935,13.33
1936,12.82
1937,13.09
1938,13.89
1939,13.22
1940,12.96
1941,12.65
1942,12.75
1943,13.85
1944,13.21
1945,13.91
1946,13.02
1947,13.33
1948,13.74
1949,14.63
1950,12.89
1951,12.80
1952,12.72
1953,13.56
1954,12.66
1955,13.19
1956,12.49
1957,13.73
1958,12.86
1959,14.63
1960,13.35
1961,13.74
1962,12.18
1963,12.07
1964,13.16
1965,12.55
1966,12.87
1967,13.03
1968,12.64
1969,12.84
1970,13.23
1971,13.39
1972,12.70
1973,13.31
1974,13.20
1975,13.87
1976,13.96
1977,12.91
1978,12.93
1979,12.37
1980,12.97
1981,12.79
1982,13.58
1983,13.69
1984,13.57
1985,12.37
1986,12.36
1987,12.49
1988,13.30
1989,14.50
1990,14.60
1991,13.26
1992,13.47
1993,13.02
1994,13.81
1995,14.45
1996,12.89
1997,14.39
1998,13.96
1999,14.43
2000,13.90
2001,13.68
2002,14.36
2003,14.84
2004,14.08
2005,14.24
2006,14.55
2007,14.23
2008,13.61
2009,13.85
2010,12.64
2011,14.54
2012,13.43
2013,13.29
2014,14.75
2015,14.17
2016,14.18
2017,14.30
2018,14.72
2019,14.31
2020,14.73
2021,14.06
